"","X","videoId","views","comments","likes","dislikes","dateUploaded","thumbnailURL","videoTitle","channelId","channelName","subscribers","numViews","channelURL","videoURl","categories","numVideos","id"
"1207",1219,"xzRetXDavR4",2315043,6001,81746,730,"2017-07-26T22:00:02.000Z","https://i.ytimg.com/vi/xzRetXDavR4/maxresdefault.jpg","EXPOSING BOYFRIEND'S PROM PHOTOS","LaurDIY","LaurDIY",7606449,"827651185","www.youtube.com/user/LaurDIY","https://www.youtube.com/watch?v=xzRetXDavR4","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",512,"B"
"1375",1387,"1Ak4_YhBmdE",1704992,4611,80446,1112,"2017-07-26T17:59:57.000Z","https://i.ytimg.com/vi/1Ak4_YhBmdE/maxresdefault.jpg","TRUTH OR DARE GET READY WITH US feat. Tati Westbrook!","MannyMua733","Manny Mua",4789318,"342142325","www.youtube.com/user/MannyMua733","https://www.youtube.com/watch?v=1Ak4_YhBmdE","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",319,"B"
"883",895,"_xv3uTh9nJY",3787651,24210,212622,1438,"2017-07-27T10:36:48.000Z","https://i.ytimg.com/vi/_xv3uTh9nJY/maxresdefault.jpg","Shaving My Boyfriends Face","JennaMarbles","JennaMarbles",18078938,"2684485448","www.youtube.com/user/JennaMarbles","https://www.youtube.com/watch?v=_xv3uTh9nJY","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",398,"B"
"1806",1821,"YBp5y8aGdbE",470625,329,13823,128,"2017-07-27T01:00:01.000Z","https://i.ytimg.com/vi/YBp5y8aGdbE/maxresdefault.jpg","HOW PROS PLAY BATTLEGROUNDS - PlayerUnknown's Battlegrounds Gameplay Funny Moments with Team Respawn","SeaNanners","SeaNanners Gaming Channel",5668098,NA,"www.youtube.com/user/SeaNanners","https://www.youtube.com/watch?v=YBp5y8aGdbE","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",1838,"B"
"1988",2086,"LyGYw-1tKBM",4168513,12278,181576,1795,"2017-07-27T23:03:29.000Z","https://i.ytimg.com/vi/LyGYw-1tKBM/maxresdefault.jpg","Types of Contacts In Your Phone","IISuperwomanII","IISuperwomanII",13621237,"2559378723","www.youtube.com/user/IISuperwomanII","https://www.youtube.com/watch?v=LyGYw-1tKBM","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",699,"B"
"828",840,"2eD11_GUde0",2979806,12799,94062,8055,"2017-07-28T17:44:19.000Z","https://i.ytimg.com/vi/2eD11_GUde0/maxresdefault.jpg","WE BROKE OUR $59 000 LOUIS VUITTON SKATEBOARD","jeffreestar","jeffreestar",6959756,"824367253","www.youtube.com/user/jeffreestar","https://www.youtube.com/watch?v=2eD11_GUde0","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",268,"B"
"943",955,"0D_-AleoPI0",1033081,3448,115073,301,"2017-07-28T19:00:01.000Z","https://i.ytimg.com/vi/0D_-AleoPI0/maxresdefault.jpg","BOYFRIEND DOES MY MAKE UP (BLINDFOLDED)","KianAndJc","KianAndJc",3029227,"472572163","www.youtube.com/user/KianAndJc","https://www.youtube.com/watch?v=0D_-AleoPI0","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",307,"B"
"99",102,"QfdymAjXPRg",1519155,6959,88922,1107,"2017-07-29T20:54:30.000Z","https://i.ytimg.com/vi/QfdymAjXPRg/maxresdefault.jpg","5 EASY GO-TO OUTFITS FOR SCHOOL | Back To School 2017!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=QfdymAjXPRg","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"1437",1450,"FtqBG-8fXno",4128495,13049,193966,1843,"2017-07-29T18:00:01.000Z","https://i.ytimg.com/vi/FtqBG-8fXno/maxresdefault.jpg","Simply Nailogical Gets A Makeover! HOLOSexual Makeup Transformation!","MannyMua733","Manny Mua",4789318,"342142325","www.youtube.com/user/MannyMua733","https://www.youtube.com/watch?v=FtqBG-8fXno","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",319,"B"
"1143",1155,"WaIG6QDVQb0",2533056,57516,162254,1067,"2017-07-30T16:00:03.000Z","https://i.ytimg.com/vi/WaIG6QDVQb0/maxresdefault.jpg","BACK TO SCHOOL SUPPLIES HAUL 2017","LaurDIY","LaurDIY",7606449,"827651185","www.youtube.com/user/LaurDIY","https://www.youtube.com/watch?v=WaIG6QDVQb0","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",512,"B"
"1285",1297,"l_FvOeLzL1U",5815645,10447,291446,1449,"2017-07-30T20:50:01.000Z","https://i.ytimg.com/vi/l_FvOeLzL1U/maxresdefault.jpg","TASTING THE WORST CANDY!!","UChoTvF02Cv74FF72OaJtTMA","Liza Koshy Too",6234584,"399163385","www.youtube.com/channel/UChoTvF02Cv74FF72OaJtTMA","https://www.youtube.com/watch?v=l_FvOeLzL1U","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",59,"B"
